CompoundID,cpdName,feature,ion,IonID,rt,rt_minutes,mz,mzMin,mzMax,rtMin,rtMax,Monoisotopic_mass,chemicalFormula,logPRDKit,HMDBClass,HMDBSubClass,HMDBDirectParent,HMDBID,LmapsCategory,LmapsMainclass,LMapsSubclass,LMapsID,KEGGID,chemspiderID,PubChemID,IUPAC,InChI,InChIKey,MSIAnnotationLevel
HPOS-0011,Glutarylcarnitine CAR(5:0-DC),1,[M+H]+,HPOS-0011.1,306.2,5.104,276.1441639,276.1400217,276.148306,291.2,321.2,275.1368874,C12H21NO6,-3.7587,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,Acyl carnitines,HMDB0013130,Fatty Acyls [FA],Fatty esters [FA07],Fatty acyl carnitines [FA0707],LMFA07070091,C02301,34448634,71464488,(3R)-3-[(4-carboxybutanoyl)oxy]-4-(trimethylazaniumyl)butanoate,"InChI=1S/C12H21NO6/c1-13(2,3)8-9(7-11(16)17)19-12(18)6-4-5-10(14)15/h9H,4-8H2,1-3H3,(H-,14,15,16,17)",NXJAXUYOQLTISD-UHFFFAOYSA-N,1
HPOS-0012,Isovaleryl | Valeryl | 2-methylbutyryl carnitine CAR(5:0),1,[M+H]+,HPOS-0012.1,263.3,4.388,246.1699847,246.1662921,246.1736772,248.3,278.3,245.1627082,C12H23NO4,-0.2095 | -0.0654 | -0.2095,Fatty Acyls,Fatty acid esters,Acyl carnitines,HMDB0000688 | HMDB0013128 | HMDB0000378,Fatty Acyls [FA],Fatty esters [FA07],Fatty acyl carnitines [FA0707],LMFA07070076 | LMFA07070111 | LMFA07070034,C02301,4932271 | 17353685 | 4932320,6426851 | 16226475 | 6426901,,"InChI=1S/C12H23NO4/c1-9(2)6-12(16)17-10(7-11(14)15)8-13(3,4)5/h9-10H,6-8H2,1-5H3 | InChI=1S/C12H23NO4/c1-5-6-7-12(16)17-10(8-11(14)15)9-13(2,3)4/h10H,5-9H2,1-4H3/t10-/m1/s1 | InChI=1S/C12H23NO4/c1-6-9(2)12(16)17-10(7-11(14)15)8-13(3,4)5/h9-10H,6-8H2,1-5H3",IGQBPDJNUXPEMT-UHFFFAOYSA-N | VSNFQQXVMPSASB-SNVBAGLBSA-N | IHCPDBBYTYJYIL-UHFFFAOYSA-N ,1
HPOS-0013,Lauroylcarnitine CAR(12:0),1,[M+H]+,HPOS-0013.1,234.4,3.97,344.2795352,344.274371,344.2846993,219.4,249.4,343.2722587,C19H37NO4,-1.8857,Fatty Acyls,Fatty acid esters,Acyl carnitines,HMDB0002250,Fatty Acyls [FA],Fatty esters [FA07],Fatty acyl carnitines [FA0707],LMFA07070062,C02301,147288,168381,(3R)-3-(dodecanoyloxy)-4-(trimethylazaniumyl)butanoate,"InChI=1S/C19H37NO4/c1-5-6-7-8-9-10-11-12-13-14-19(23)24-17(15-18(21)22)16-20(2,3)4/h17H,5-16H2,1-4H3/t17-/m1/s1",FUJLYHJROOYKRA-QGZVFWFLSA-N,1
HPOS-0014,Histidine,1,[M+H]+,HPOS-0014.1,369,6.151,156.076753,156.0744118,156.0790941,354,384,155.0694765,C6H9N3O2,-2.1915,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Histidine and derivatives,HMDB0000177,,,,NA,C00135,6038,6274,(2S)-2-amino-3-(1H-imidazol-5-yl)propanoic acid,"InChI=1S/C6H9N3O2/c7-5(6(10)11)1-4-2-8-3-9-4/h2-3,5H,1,7H2,(H,8,9)(H,10,11)/t5-/m0/s1",HNDVDQJCIGZPNO-YFKPBYRVSA-N,1
HPOS-0015,N1-Acetylspermidine,1,[M+H]+,HPOS-0015.1,359.5,5.992,188.1757388,188.1729161,188.1785614,344.5,374.5,187.1684623,C9H21N3O,-2.3502,Carboximidic acids and derivatives,Carboximidic acids,Carboximidic acids,HMDB0001276,,,,NA,C00612,110264,496,N-{3-[(4-aminobutyl)amino]propyl}acetamide,"InChI=1S/C9H21N3O/c1-9(13)12-8-4-7-11-6-3-2-5-10/h11H,2-8,10H2,1H3,(H,12,13)",MQTAVJHICJWXBR-UHFFFAOYSA-N,2
HPOS-0016,"N6,N6,N6-Trimethyl-L-lysine",1,[M+H]+,HPOS-0016.1,369.8,6.163,189.1597544,189.156917,189.1625917,354.8,384.8,188.1524779,C9H20N2O2,-3.7023,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",L-alpha-amino acids,HMDB0001325,,,,NA,C03793,389120,440120,,"InChI=1S/C9H20N2O2/c1-11(2,3)7-5-4-6-8(10)9(12)13/h8H,4-7,10H2,1-3H3/t8-/m0/s1",MXNRLFUSFKVQSK-QMMMGPOBSA-N,1
HPOS-0017,Nicotinamide N-oxide,1,[M+H]+,HPOS-0017.1,121,2.016,139.0502039,139.0481181,139.0522896,106,136,138.0429274,C6H6N2O2,-0.80083,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives,Nicotinamides,HMDB0002730,,,,NA,NA,65522,72661,3-carbamoylpyridin-1-ium-1-olate,"InChI=1S/C6H6N2O2/c7-6(9)5-2-1-3-8(10)4-5/h1-4H,(H2,7,9)",USSFUVKEHXDAPM-UHFFFAOYSA-N,1
HPOS-0018,Octanoylcarnitine CAR(8:0),1,[M+H]+,HPOS-0018.1,248,4.134,288.2169349,288.2126116,288.2212581,233,263,287.2096584,C15H29NO4,-1.4254,Fatty Acyls,Fatty acid esters,Acyl carnitines,HMDB0000791,Fatty Acyls [FA],Fatty esters [FA07],Fatty acyl carnitines [FA0707],LMFA07070095,C02838,10128115,11953814,(3R)-3-(octanoyloxy)-4-(trimethylazaniumyl)butanoate,"InChI=1S/C15H29NO4/c1-5-6-7-8-9-10-15(19)20-13(11-14(17)18)12-16(2,3)4/h13H,5-12H2,1-4H3/t13-/m1/s1",CXTATJFJDMJMIY-UHFFFAOYSA-N,1
HPOS-0019,Palmitoylcarnitine CAR(16:0),1,[M+H]+,HPOS-0019.1,226.7,3.778,400.3421354,400.3361302,400.3481405,211.7,241.7,399.3348589,C23H45NO4,-1.3093,Fatty Acyls,Fatty acid esters,Acyl carnitines,HMDB0000222,Fatty Acyls [FA],Fatty esters [FA07],Fatty acyl carnitines [FA0707],LMFA07070004,C02990,10128117,11953816,(3R)-3-(hexadecanoyloxy)-4-(trimethylazaniumyl)butanoate,"InChI=1S/C23H45NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-23(27)28-21(19-22(25)26)20-24(2,3)4/h21H,5-20H2,1-4H3/t21-/m1/s1",XOMRRQXKHMYMOC-OAQYLSRUSA-N,1
HPOS-0020,Proline betaine,1,[M+H]+,HPOS-0020.1,294.8,4.913,144.1019052,144.0997436,144.1040667,279.8,309.8,143.0946287,C7H13NO2,-2.6239,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Proline and derivatives,HMDB0004827,,,,NA,C10172,103115,115244,"(2S)-1,1-dimethylpyrrolidin-1-ium-2-carboxylate","InChI=1S/C7H13NO2/c1-8(2)5-3-4-6(8)7(9)10/h6H,3-5H2,1-2H3/t6-/m0/s1",CMUNUTVVOOHQPW-LURJTMIESA-N,1
HPOS-0021,Propionylcarnitine CAR(3:0),1,[M+H]+,HPOS-0021.1,289.2,4.819,218.1386846,218.1354125,218.1419566,274.2,304.2,217.1314081,C10H19NO4,-3.1826,Fatty Acyls,Fatty acid esters,Acyl carnitines,HMDB0000824,Fatty Acyls [FA],Fatty esters [FA07],Fatty acyl carnitines [FA0707],LMFA07070005,C03017,96904,107738,3-(propanoyloxy)-4-(trimethylazaniumyl)butanoate,"InChI=1S/C10H19NO4/c1-5-10(14)15-8(6-9(12)13)7-11(2,3)4/h8H,5-7H2,1-4H3/t8-/m1/s1",UFAHZIUFPNSHSL-MRVPVSSYSA-N,1
HPOS-0022,Stearoylcarnitine CAR(18:0),1,[M+H]+,HPOS-0022.1,223.5,3.74,428.3734356,428.36701,428.3798612,208.5,238.5,427.3661591,C25H49NO4,-1.0211,Fatty Acyls,Fatty acid esters,Acyl carnitines,HMDB0000848,Fatty Acyls [FA],Fatty esters [FA07],Fatty acyl carnitines [FA0707],LMFA07070051,C02301,4932275,6426855,(3R)-3-(octadecanoyloxy)-4-(trimethylazaniumyl)butanoate,"InChI=1S/C25H49NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-25(29)30-23(21-24(27)28)22-26(2,3)4/h23H,5-22H2,1-4H3",FNPHNLNTJNMAEE-UHFFFAOYSA-N,1
HPOS-0023,Taurine,1,[M+H]+,HPOS-0023.1,156.5,2.609,126.0219403,126.0200499,126.0238306,141.5,171.5,125.0146638,C2H7NO3S,-2.3855,Organic sulfonic acids and derivatives,Organosulfonic acids and derivatives,Organosulfonic acids,HMDB0000251,,,,NA,C00245,1091,1123,2-aminoethane-1-sulfonic acid,"InChI=1S/C2H7NO3S/c3-1-2-7(4,5)6/h1-3H2,(H,4,5,6)",XOAAWQZATWQOTB-UHFFFAOYSA-N,1
HPOS-0024,Paraxanthine,1,[M+H]+,HPOS-0024.1,56.9,0.948,181.072002,181.0692859,181.074718,41.9,71.9,180.0647255,C7H8N4O2,-1.2207,Imidazopyrimidines,Purines and purine derivatives,Xanthines,HMDB0001860,,,,NA,C13747,4525,4687,,"InChI=1S/C7H8N4O2/c1-10-3-8-5-4(10)6(12)11(2)7(13)9-5/h3H,1-2H3,(H,9,13)",QUNWUDVFRNGTCO-UHFFFAOYSA-N,1
HPOS-0025,Trigonelline,1,[M+H]+,HPOS-0025.1,291,4.85,138.054955,138.0528841,138.0570258,276,306,137.0476785,C7H7NO2,-1.9864,NA,NA,Alkaloids and derivatives,HMDB0000875,,,,NA,C01004,5369,5570,1-methylpyridin-1-ium-3-carboxylate,"InChI=1S/C7H7NO2/c1-8-4-2-3-6(5-8)7(9)10/h2-5H,1H3",WWNNZCOKKKDOPX-UHFFFAOYSA-N,1
HPOS-0026,Trimethylaminoacetone,1,[M]+,HPOS-0026.1,210.5,3.509,116.1069905,116.1052489,116.1087321,195.5,225.5,116.1075391,C6H14NO,-1.4404,Organooxygen compounds,Carbonyl compounds,Alpha-amino ketones,HMDB0012296,,,,NA,NA,133796,151806,trimethyl(2-oxopropyl)azanium,"InChI=1S/C6H14NO/c1-6(8)5-7(2,3)4/h5H2,1-4H3/q+1",LFWNPKYGVKNNAB-UHFFFAOYSA-N,1
HPOS-0027,Betaine,1,[M+H]+,HPOS-0027.1,287,4.783,118.0862551,118.0844838,118.0880263,272,302,117.0789786,C5H11NO2,-2.9105,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Alpha amino acids,HMDB0000043,,,,NA,C00719,242,247,,"InChI=1S/C5H11NO2/c1-6(2,3)4-5(7)8/h4H2,1-3H3",KWIUHFFTVRNATP-UHFFFAOYSA-N,1
HPOS-0028,N-Acetylputrescine,1,[M+H]+,HPOS-0028.1,264.1,4.401,131.1178896,131.1159228,131.1198563,249.1,279.1,130.1106131,C6H14N2O,-1.3777,Carboximidic acids and derivatives,Carboximidic acids,Carboximidic acids,HMDB0002064,,,,NA,C02714,109095,122356,,"InChI=1S/C6H14N2O/c1-6(9)8-5-3-2-4-7/h2-5,7H2,1H3,(H,8,9)",KLZGKIDSEJWEDW-UHFFFAOYSA-N,1
HPOS-0029,4-Trimethylammoniobutanoic acid (deoxycarnitine),1,[M]+,HPOS-0029.1,294.5,4.908,146.1175552,146.1153635,146.119747,279.5,309.5,146.1181038,C7H16NO2,-2.6223,Fatty Acyls,Fatty acids and conjugates,Straight chain fatty acids,HMDB0001161,,,,NA,C01181,705,134,,"InChI=1S/C7H15NO2/c1-8(2,3)6-4-5-7(9)10/h4-6H2,1-3H3",JHPNVNIEXXLNTR-UHFFFAOYSA-N,1
HPOS-0030,Homoarginine,1,[M+H]+,HPOS-0030.1,355.4,5.924,189.1346023,189.1317652,189.1374393,340.4,370.4,188.1273258,C7H16N4O2,-3.63853,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",L-alpha-amino acids,HMDB0000670,,,,NA,C01924,8732,9085,,"InChI=1S/C7H16N4O2/c8-5(6(12)13)3-1-2-4-11-7(9)10/h5H,1-4,8H2,(H,12,13)(H4,9,10,11)/t5-/m0/s1",QUOGESRFPZDMMT-YFKPBYRVSA-N,1
HPOS-0031,Warfarin,1,[M+H]+,HPOS-0031.1,40.4,0.673,309.1121365,309.1074998,309.1167731,25.4,55.4,308.10486,C19H16O4,2.0323,Coumarins and derivatives,Hydroxycoumarins,4-hydroxycoumarins,HMDB0001935,,,,NA,C01541,10442445,54678486,,"InChI=1S/C19H16O4/c1-12(20)11-15(13-7-3-2-4-8-13)17-18(21)14-9-5-6-10-16(14)23-19(17)22/h2-10,15,21H,11H2,1H3",PJVWKTKQMONHTI-UHFFFAOYSA-N,1
HPOS-0032,Biliverdin,1,[M+H]+,HPOS-0032.1,43.9,0.732,583.2551113,583.2463624,583.2638601,28.9,58.9,582.2478348,C33H34N4O6,1.51392,Tetrapyrroles and derivatives,Bilirubins,Bilirubins,HMDB0001008,,,,NA,C00500,10628548,5280353,,"InChI=1S/C33H34N4O6/c1-7-20-19(6)32(42)37-27(20)14-25-18(5)23(10-12-31(40)41)29(35-25)15-28-22(9-11-30(38)39)17(4)24(34-28)13-26-16(3)21(8-2)33(43)36-26/h7-8,13-15,35H,1-2,9-12H2,3-6H3,(H,36,43)(H,37,42)(H,38,39)(H,40,41)/b26-13-,27-14-,28-15-",QBUVFDKTZJNUPP-BBROENKCSA-N,1
HPOS-0033,Caffeine,1,[M+H]+,HPOS-0033.1,51,0.85,195.0876521,195.0847257,195.0905784,36,66,194.0803756,C8H10N4O2,-2.2593,Imidazopyrimidines,Purines and purine derivatives,Xanthines,HMDB0001847,,,,NA,C07481,2424,2519,,"InChI=1S/C8H10N4O2/c1-10-4-9-6-5(10)7(13)12(3)8(14)11(6)2/h4H,1-3H3",RYYVLZVUVIJVGH-UHFFFAOYSA-N,1
HPOS-0034,Niacinamide,1,[M+H]+,HPOS-0034.1,64.1,1.068,123.0552893,123.0534434,123.0571351,49.1,79.1,122.0480128,C6H6N2O,-0.03923,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives,Nicotinamides,HMDB0001406,,,,NA,C00153,911,936,,"InChI=1S/C6H6N2O/c7-6(9)5-2-1-3-8-4-5/h1-4H,(H2,7,9)",DFPAKSUCGFBDDF-UHFFFAOYSA-N,1
HPOS-0035,Cotinine,1,[M+H]+,HPOS-0035.1,84.2,1.404,177.1022396,177.099583,177.1048961,69.2,99.2,176.0949631,C10H12N2O,-0.1011,Pyridines and derivatives,Pyrrolidinylpyridines,Pyrrolidinylpyridines,HMDB0001046,,,,NA,NA,395,408,,"InChI=1S/C10H12N2O/c1-12-9(4-5-10(12)13)8-3-2-6-11-7-8/h2-3,6-7,9H,4-5H2,1H3",UIKROCXWUNQSPJ-UHFFFAOYSA-N,1
HPOS-0036,Creatinine,1,[M+Na]+,HPOS-0036.1,150.4,2.507,136.0481326,136.0460919,136.0501733,135.4,165.4,113.0589119,C4H7N3O,-1.30413,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Alpha amino acids and derivatives,HMDB0000562,,,,NA,C00791,568,588,,"InChI=1S/C4H7N3O/c1-7-2-3(8)6-4(7)5/h2H2,1H3,(H2,5,6,8)",DDRJAANPRJIHGJ-UHFFFAOYSA-N,1
HPOS-0037,Phenylacetyl carnitine,1,[M+H]+,HPOS-0037.1,268.2,4.469,280.1543365,280.1501341,280.1585388,253.2,283.2,279.14706,C15H21NO4,-2.8168,NA,NA,NA,NA,,,,NA,NA,NA,140348918,,"InChI=1S/C15H21NO4/c1-16(2,3)11-15(20,10-14(18)19)13(17)9-12-7-5-4-6-8-12/h4-8,20H,9-11H2,1-3H3",YNXPNLZXWNAYEE-UHFFFAOYSA-N,3
HPOS-0038,"1,1-Dimethylbiguanide (Metformin)",1,[M+H]+,HPOS-0038.1,205.4,3.423,130.1087218,130.1067701,130.1106734,190.4,220.4,129.1014453,C4H11N5,-2.84316,Organonitrogen compounds,Guanidines,Biguanides,HMDB0001921,,,,NA,C07151,3949,4091,,"InChI=1S/C4H11N5/c1-9(2)4(7)8-3(5)6/h1-2H3,(H5,5,6,7,8)",XZWYZXLIPXDOLR-UHFFFAOYSA-N,1
HPOS-0039,Tryptophan,1,[M+H]+,HPOS-0039.1,222,3.7,205.0971541,205.0940776,205.1002305,207,237,204.0898776,C11H12N2O2,-0.8023,Indoles and derivatives,Indolyl carboxylic acids and derivatives,Indolyl carboxylic acids and derivatives,HMDB0000929,,,,NA,C00078,6066,6305,,"InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)/t9-/m0/s1",QIVBCDIJIAJPQS-VIFPVBQESA-N,1
HPOS-0040,Phenylalanine,1,[M+H]+,HPOS-0040.1,226.8,3.78,166.0862551,166.0837638,166.0887463,211.8,241.8,165.0789786,C9H11NO2,-1.0694,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Phenylalanine and derivatives,HMDB0000159,,,,NA,C00079,5910,6140,,"InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m0/s1",COLNVLDHVKWLRT-QMMMGPOBSA-N,1
HPOS-0041,Methionine,1,[M+H]+,HPOS-0041.1,246.7,4.112,150.0583261,150.0560752,150.0605769,231.7,261.7,149.0510496,C5H11NO2S,-1.559,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Methionine and derivatives,HMDB0000696,,,,NA,C00073,5907,6137,,"InChI=1S/C5H11NO2S/c1-9-3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)/t4-/m0/s1",FFEARJCKVFRZRR-BYPYZUCNSA-N,1
HPOS-0042,Trimethylamine N-oxide,1,[2M+H]+,HPOS-0042.1,250.7,4.179,151.1441043,151.1418371,151.1463714,235.7,265.7,75.0684139,C3H9NO,-0.9166,Organonitrogen compounds,Aminoxides,Trialkyl amine oxides,HMDB0000925,,,,NA,C01104,1113,1145,,"InChI=1S/C3H9NO/c1-4(2,3)5/h1-3H3",UYPYRKYUKCHHIB-UHFFFAOYSA-N,1
HPOS-0043,Proline,1,[M+H]+,HPOS-0043.1,267.4,4.457,116.070605,116.0688639,116.072346,252.4,282.4,115.0633285,C5H9NO2,-1.5502,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Proline and derivatives,HMDB0000162,,,,NA,C00148,128566,145742,,"InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)/t4-/m0/s1",ONIBWKKTOPOVIA-BYPYZUCNSA-N,1
HPOS-0044,Alanine,1,[M-H+2Na]+,HPOS-0044.1,273.9,4.566,134.0188434,134.0168332,134.0208537,258.9,288.9,89.0476785,C3H7NO2,-1.8002,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Alanine and derivatives,HMDB0000161,,,,NA,C00041,5735,5950,,"InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)/t2-/m0/s1",QNAYBMKLOCPYGJ-REOHCLBHSA-N,1
HPOS-0045,Creatine,1,[M+H]+,HPOS-0045.1,303.6,5.06,132.076753,132.0747718,132.0787341,288.6,318.6,131.0694765,C4H9N3O2,-2.65933,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Alpha amino acids and derivatives,HMDB0000064,,,,NA,C00300,566,586,,"InChI=1S/C4H9N3O2/c1-7(4(5)6)2-3(8)9/h2H2,1H3,(H3,5,6)(H,8,9)",CVSVTCORWBXHQV-UHFFFAOYSA-N,1
HPOS-0046,Glutamine,1,[M+H]+,HPOS-0046.1,303.3,5.055,147.0764187,147.0742125,147.0786248,288.3,318.3,146.0691422,C5H10N2O3,-2.13983,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",L-alpha-amino acids,HMDB0000641,,,,NA,C00064,718,5961,,"InChI=1S/C5H10N2O3/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H2,7,8)(H,9,10)/t3-/m0/s1",ZDXPYRJPNDTMRX-VKHMYHEASA-N,1
HPOS-0047,Citrulline,1,[M+H]+,HPOS-0047.1,344.4,5.74,176.1029665,176.1003249,176.105608,329.4,359.4,175.09569,C6H13N3O3,-3.05293,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",L-alpha-amino acids,HMDB0000904,,,,NA,C00327,9367,9750,(2S)-2-amino-5-(carbamoylamino)pentanoic acid,"InChI=1S/C6H13N3O3/c7-4(5(10)11)2-1-3-9-6(8)12/h4H,1-3,7H2,(H,10,11)(H3,8,9,12)/t4-/m0/s1",RHGKLRLOHDJJDR-BYPYZUCNSA-N,1
HPOS-0048,Arginine,1,[M+H]+,HPOS-0048.1,355.1,5.918,175.1189522,175.1163254,175.1215789,340.1,370.1,174.1116757,C6H14N4O2,-3.78263,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",L-alpha-amino acids,HMDB0000517,,,,NA,C00062,6082,6322,,"InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)/t4-/m0/s1",ODKSFYDXXFIFQN-BYPYZUCNSA-N,1
