cpdID,cpdName,feature,ion,IonID,rt,rt_minutes,mz,mzMin,mzMax,rtMin,rtMax,Monoisotopic_mass,chemicalFormula,logPRDKit,HMDBClass,HMDBSubClass,HMDBDirectParent,HMDBID,LmapsCategory,LmapsMainclass,LMapsSubclass,LMapsID,KEGGID,chemspiderID,PubChemID,ChEBIID,InChI,InChIKey,MSIAnnotationLevel
RPOS-011,Proline betaine,1,M+H,RPOS-011.1,41.04,0.684,144.10245,144.1002885,144.1046115,26.04,56.04,143.0946287,C7H13NO2,-2.6239,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Proline and derivatives,HMDB0004827,,,,NA,C10172,103115,115244,35280,"InChI=1S/C7H13NO2/c1-8(2)5-3-4-6(8)7(9)10/h6H,3-5H2,1-2H3/t6-/m0/s1",CMUNUTVVOOHQPW-LURJTMIESA-N,1
RPOS-012,Prolylhydroxyproline,1,M+H,RPOS-012.1,46.08,0.768,229.11883,229.1153932,229.1222668,31.08,61.08,228.111007,C10H16N2O4,-3.0587,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Dipeptides,HMDB0006695,,,,NA,NA,10077215,11902893,74767,"InChI=1S/C10H16N2O4/c13-6-4-8(10(15)16)12(5-6)9(14)7-2-1-3-11-7/h6-8,11,13H,1-5H2,(H,15,16)/t6-,7+,8+/m1/s1",ONPXCLZMBSJLSP-CSMHCCOUSA-N,1
RPOS-013,Pipecolic acid,1,M+H,RPOS-013.1,54.36,0.906,130.0868,130.0848487,130.0887513,39.36,69.36,129.0789786,C6H11NO2,-1.4061,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Alpha amino acids,HMDB0000070,,,,NA,C00408,826,849,17964,"InChI=1S/C6H11NO2/c8-6(9)5-3-1-2-4-7-5/h5,7H,1-4H2,(H,8,9)",HXEACLLIILLPRG-UHFFFAOYSA-N,1
RPOS-014,Phenylacetylglutamine,1,M+H,RPOS-014.1,217.14,3.619,265.11883,265.1148532,265.1228068,202.14,232.14,264.111007,C13H16N2O4,-0.62993,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",N-acyl-alpha amino acids,HMDB0006344,,,,NA,C04148,83292,92258,17884,"InChI=1S/C13H16N2O4/c14-11(16)7-6-10(13(18)19)15-12(17)8-9-4-2-1-3-5-9/h1-5,10H,6-8H2,(H2,14,16)(H,15,17)(H,18,19)/t10-/m0/s1",JFLIEFSWGNOPJJ-JTQLQIEISA-N,1
RPOS-015,Pantothenic acid,1,M+H,RPOS-015.1,141.06,2.351,220.1185,220.1151982,220.1218018,126.06,156.06,219.1106727,C9H17NO5,-1.8626,Organooxygen compounds,Alcohols and polyols,Secondary alcohols,HMDB0000210,,,,NA,C00864,963,6613,46905,"InChI=1S/C9H17NO5/c1-9(2,5-11)7(14)8(15)10-4-3-6(12)13/h7,11,14H,3-5H2,1-2H3,(H,10,15)(H,12,13)/t7-/m0/s1",GHOKWGTUZJEAQD-ZETCQYMHSA-N,1
RPOS-016,L-Acetylcarnitine CAR(2:0),1,M+H,RPOS-016.1,58.56,0.976,204.12358,204.1205181,204.1266419,43.56,73.56,203.115758,C9H17NO4,-3.3267,Fatty Acyls,Fatty acid esters,Acyl carnitines,HMDB0000201,Fatty Acyls [FA],Fatty esters [FA07],Fatty acyl carnitines [FA0707],LMFA07070050,C02571,5406074,7045767,57589,"InChI=1S/C9H17NO4/c1-7(11)14-8(5-9(12)13)6-10(2,3)4/h8H,5-6H2,1-4H3/t8-/m1/s1",RDHQFKQIGNGIED-MRVPVSSYSA-N,1
RPOS-017,N6-Methyladenosine,1,M+H,RPOS-017.1,123.6,2.06,282.12023,282.1159982,282.1244618,108.6,138.6,281.112404,C11H15N5O4,-2.2846,Purine nucleosides,,Purine nucleosides,HMDB0004044,,,,NA,NA,92307,102175,21891,"InChI=1S/C11H15N5O4/c1-12-9-6-10(14-3-13-9)16(4-15-6)11-8(19)7(18)5(2-17)20-11/h3-5,7-8,11,17-19H,2H2,1H3,(H,12,13,14)/t5-,7-,8-,11-/m1/s1",VQAYFKKCNSOZKM-IOSLPCCCSA-N,1
RPOS-018,1-Methyladenosine,1,M+H,RPOS-018.1,75.3,1.255,282.12023,282.1159982,282.1244618,60.3,90.3,281.112404,C11H15N5O4,-2.90333,Purine nucleosides,,Purine nucleosides,HMDB0003331,,,,NA,C02494,23256663,27476,16020,"InChI=1S/C11H15N5O4/c1-15-3-14-10-6(9(15)12)13-4-16(10)11-8(19)7(18)5(2-17)20-11/h3-5,7-8,11-12,17-19H,2H2,1H3/t5-,7-,8-,11-/m1/s1",GFYLSDSUCHVORB-IOSLPCCCSA-N,1
RPOS-019,Symmetric dimethylarginine,1,[M-CH3NH2+H],RPOS-019.1,38.4,0.64,172.1086,172.1060184,172.1111816,23.4,53.4,202.14298,C8H18N4O2,-3.7805,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Arginine and derivatives,HMDB0003334,,,,NA,NA,147942,169148,25682,"InChI=1S/C8H18N4O2/c1-10-8(11-2)12-5-3-4-6(9)7(13)14/h6H,3-5,9H2,1-2H3,(H,13,14)(H2,10,11,12)/t6-/m0/s1",HVPFXCBJHIIJGS-LURJTMIESA-N,1
RPOS-020,Niacinamide,1,M+H,RPOS-020.1,67.14,1.119,123.05584,123.0539942,123.0576858,52.14,82.14,122.0480128,C6H6N2O,-0.03923,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives,Nicotinamides,HMDB0001406,,,,NA,C00153,911,936,17154,"InChI=1S/C6H6N2O/c7-6(9)5-2-1-3-8-4-5/h1-4H,(H2,7,9)",DFPAKSUCGFBDDF-UHFFFAOYSA-N,1
RPOS-021,N6-Acetyl-L-lysine,1,M+H,RPOS-021.1,55.08,0.918,189.12392,189.1210831,189.1267569,40.08,70.08,188.1160924,C8H16N2O3,-1.9554,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",L-alpha-amino acids,HMDB0000206,,,,NA,C02727,83801,92832,17752,"InChI=1S/C8H16N2O3/c1-6(11)10-5-3-2-4-7(9)8(12)13/h7H,2-5,9H2,1H3,(H,10,11)(H,12,13)/t7-/m0/s1",DTERQYGMUDWYAZ-ZETCQYMHSA-N,1
RPOS-022,Guanidinosuccinic acid,1,M+H,RPOS-022.1,35.1,0.585,176.06713,176.064489,176.069771,20.1,50.1,175.0593058,C5H9N3O4,-3.42443,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Aspartic acid and derivatives,HMDB0003157,,,,NA,C03139,388951,439918,17072,"InChI=1S/C5H9N3O4/c6-5(7)8-2(4(11)12)1-3(9)10/h2H,1H2,(H,9,10)(H,11,12)(H4,6,7,8)/t2-/m0/s1",VVHOUVWJCQOYGG-REOHCLBHSA-N,1
RPOS-023,N-Acetylasparagine,1,M+H,RPOS-023.1,46.32,0.772,175.07188,175.0692539,175.0745061,31.32,61.32,174.0640568,C6H10N2O4,-1.50483,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Asparagine and derivatives,HMDB0006028,,,,NA,NA,90090,99715,139582,"InChI=1S/C6H10N2O4/c1-3(9)8-4(6(11)12)2-5(7)10/h4H,2H2,1H3,(H2,7,10)(H,8,9)(H,11,12)/t4-/m0/s1",HXFOXFJUNFFYMO-BYPYZUCNSA-N,1
RPOS-024,N-Acetylneuraminic acid,1,M+H,RPOS-024.1,36.6,0.61,310.11381,310.1091583,310.1184617,21.6,51.6,309.1059812,C11H19NO9,-3.765,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,N-acylneuraminic acids,HMDB0000230,,,,NA,C00270,388337,439197,17012,"InChI=1S/C11H19NO9/c1-4(14)12-7-5(15)2-11(20,10(18)19)21-9(7)8(17)6(16)3-13/h5-9,13,15-17,20H,2-3H2,1H3,(H,12,14)(H,18,19)/t5-,6+,7+,8+,9+,11?/m0/s1",SQVRNKJHWKZAKO-LUWBGTNYSA-N,1
RPOS-025,N-a-Acetyl-L-arginine,1,M+H,RPOS-025.1,54.96,0.916,217.13007,217.126813,217.133327,39.96,69.96,216.1222404,C8H16N4O3,-3.00353,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",N-acyl-L-alpha-amino acids,HMDB0004620,,,,NA,NA,92866,67427,40521,"InChI=1S/C8H16N4O3/c1-5(13)12-6(7(14)15)3-2-4-11-8(9)10/h6H,2-4H2,1H3,(H,12,13)(H,14,15)(H4,9,10,11)/t6-/m0/s1",SNEIUMQYRCDYCH-LURJTMIESA-N,1
RPOS-026,"N2,N2-Dimethylguanosine",1,M+H,RPOS-026.1,143.22,2.387,312.13079,312.126108,312.135472,128.22,158.22,311.1229687,C12H17N5O5,-2.3188,Purine nucleosides,,Purine nucleosides,HMDB0004824,,,,NA,NA,83878,92919,19289,"InChI=1S/C12H17N5O5/c1-16(2)12-14-9-6(10(21)15-12)13-4-17(9)11-8(20)7(19)5(3-18)22-11/h4-5,7-8,11,18-20H,3H2,1-2H3,(H,14,15,21)/t5-,7-,8-,11-/m1/s1",RSPURTUNRHNVGF-IOSLPCCCSA-N,1
RPOS-027,2-Furoylglycine,1,M+H,RPOS-027.1,141.66,2.361,170.04533,170.0427793,170.0478807,126.66,156.66,169.0375077,C7H7NO4,-1.0332,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",N-acyl-alpha amino acids,HMDB0000439,,,,NA,NA,20549,21863,82912,"InChI=1S/C7H7NO4/c9-6(10)4-8-7(11)5-2-1-3-12-5/h1-3H,4H2,(H,8,11)(H,9,10)",KSPQDMRTZZYQLM-UHFFFAOYSA-N,1
RPOS-028,"1,1-Dimethylbiguanide (Metformin)",1,M+H,RPOS-028.1,40.2,0.67,130.10927,130.1073184,130.1112216,25.2,55.2,129.1014454,C4H11N5,-2.84316,Organonitrogen compounds,Guanidines,Biguanides,HMDB0001921,,,,NA,C07151,3949,4091,6801,"InChI=1S/C4H11N5/c1-9(2)4(7)8-3(5)6/h1-2H3,(H5,5,6,7,8)",XZWYZXLIPXDOLR-UHFFFAOYSA-N,1
RPOS-029,Tryptophan,1,[M-NH3+H],RPOS-029.1,165.06,2.751,188.07115,188.0683289,188.0739711,150.06,180.06,204.0898776,C11H12N2O2,-0.8023,Indoles and derivatives,Indolyl carboxylic acids and derivatives,Indolyl carboxylic acids and derivatives,HMDB0000929,,,,NA,C00078,6066,6305,16828,"InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)/t9-/m0/s1",QIVBCDIJIAJPQS-VIFPVBQESA-N,1
RPOS-030,Lysine,1,M+H,RPOS-030.1,28.08,0.468,147.11335,147.1111433,147.1155567,13.08,43.08,146.1055277,C6H14N2O2,-2.7345,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues", L-alpha-amino acids,HMDB0000182,,,,NA,C00047,5747,5962,18019,"InChI=1S/C6H14N2O2/c7-4-2-1-3-5(8)6(9)10/h5H,1-4,7-8H2,(H,9,10)/t5-/m0/s1",KDXKERNSBIXSRK-YFKPBYRVSA-N,1
RPOS-031,Kynurenine,1,M+H,RPOS-031.1,121.02,2.017,209.09262,209.0894836,209.0957564,106.02,136.02,208.0847923,C10H12N2O3,-1.7623,Organooxygen compounds,Carbonyl compounds,Alkyl-phenylketones,HMDB0000684,,,,NA,C00328,141580,161166,16946,"InChI=1S/C10H12N2O3/c11-7-4-2-1-3-6(7)9(13)5-8(12)10(14)15/h1-4,8H,5,11-12H2,(H,14,15)/t8-/m0/s1",YGPSJZOEDVAXAB-QMMMGPOBSA-N,1
RPOS-032,Histidine,1,M+H,RPOS-032.1,31.62,0.527,156.0773,156.0749588,156.0796412,16.62,46.62,155.0694765,C6H9N3O2,-2.1915,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Histidine and derivatives,HMDB0000177,,,,NA,C00135,6038,6274,15971,"InChI=1S/C6H9N3O2/c7-5(6(10)11)1-4-2-8-3-9-4/h2-3,5H,1,7H2,(H,8,9)(H,10,11)/t5-/m0/s1",HNDVDQJCIGZPNO-YFKPBYRVSA-N,1
RPOS-033,Riboflavin (vit B2),1,M+H,RPOS-033.1,231.36,3.856,377.14611,377.1404528,377.1517672,216.36,246.36,376.1382844,C17H20N4O6,-1.81776,Pteridines and derivatives,Alloxazines and isoalloxazines,Flavins,HMDB0000244,,,,NA,C00255,431981,493570,17015,"InChI=1S/C17H20N4O6/c1-7-3-9-10(4-8(7)2)21(5-11(23)14(25)12(24)6-22)15-13(18-9)16(26)20-17(27)19-15/h3-4,11-12,14,22-25H,5-6H2,1-2H3,(H,20,26,27)/t11-,12+,14-/m0/s1",AUNGANRZJHBGPY-SCRDCRAPSA-N,1
RPOS-034,Indoleacetyl glutamine,1,M+H,RPOS-034.1,238.02,3.967,304.12973,304.1251681,304.1342919,223.02,253.02,303.121906,C15H17N3O4,-0.36283,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Glutamine and derivatives,HMDB0013240,,,,NA,NA,28533316,25200879,70811,"InChI=1S/C15H17N3O4/c16-13(19)6-5-12(15(21)22)18-14(20)7-9-8-17-11-4-2-1-3-10(9)11/h1-4,8,12,17H,5-7H2,(H2,16,19)(H,18,20)(H,21,22)",DVJIJAYHBZALOJ-UHFFFAOYSA-N,2
RPOS-035,Indole-3-acetic-acid-O-glucuronide,1,M+H,RPOS-035.1,265.14,4.419,352.10324,352.0979585,352.1085215,250.14,280.14,351.0954165,C16H17NO8,-2.0393,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,O-glucuronides,HMDB0060001,,,,NA,NA,30778504,124202110,89622,"InChI=1S/C16H17NO8/c18-10(5-7-6-17-9-4-2-1-3-8(7)9)24-16-13(21)11(19)12(20)14(25-16)15(22)23/h1-4,6,11-14,16-17,19-21H,5H2,(H,22,23)/t11-,12-,13+,14-,16+/m0/s1",BPTLUNCVRGWZSW-JHZZJYKESA-N,2
RPOS-036,Hypoxanthine,1,M+H,RPOS-036.1,72.66,1.211,137.04634,137.0442843,137.0483957,57.66,87.66,136.0385108,C5H4N4O,-0.134,Imidazopyrimidines,Purines and purine derivatives,Hypoxanthines,HMDB0000157,,,,NA,C00262,361584,790,17368,"InChI=1S/C5H4N4O/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)",FDGQSTZJBFJUBT-UHFFFAOYSA-N,1
RPOS-037,Hippuric acid,1,M+H,RPOS-037.1,215.04,3.584,180.06607,180.063369,180.068771,200.04,230.04,179.0582432,C9H9NO3,-0.3812,Benzene and substituted derivatives,Benzoic acids and derivatives,Hippuric acids,HMDB0000714,,,,NA,C01586,451,464,18089,"InChI=1S/C9H9NO3/c11-8(12)6-10-9(13)7-4-2-1-3-5-7/h1-5H,6H2,(H,10,13)(H,11,12)",QIAFMBKCNZACKA-UHFFFAOYSA-N,1
RPOS-038,Glycylproline,1,M+H,RPOS-038.1,52.56,0.876,173.09262,173.0900236,173.0952164,37.56,67.56,172.0847923,C7H12N2O3,-2.8127,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Dipeptides,HMDB0000721,,,,NA,NA,2282246,79101,70744,"InChI=1S/C7H12N2O3/c8-4-6(10)9-3-1-2-5(9)7(11)12/h5H,1-4,8H2,(H,11,12)",KZNQNBZMBZJQJO-UHFFFAOYSA-N,1
RPOS-039,Glutamine,1,M+H,RPOS-039.1,32.34,0.539,147.07697,147.0747638,147.0791762,17.34,47.34,146.0691422,C5H10N2O3,-2.13983,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",L-alpha-amino acids,HMDB0000641,,,,NA,C00064,718,5961,18050,"InChI=1S/C5H10N2O3/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H2,7,8)(H,9,10)/t3-/m0/s1",ZDXPYRJPNDTMRX-VKHMYHEASA-N,1
RPOS-040,Aminoadipic acid,1,M+H,RPOS-040.1,37.68,0.628,162.07663,162.0741989,162.0790611,22.68,52.68,161.0688078,C6H11NO4,-2.2322,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",L-alpha-amino acids,HMDB0000510,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Dicarboxylic acids [FA0117],LMFA01170098,C00956,456,469,37024,"InChI=1S/C6H11NO4/c7-4(6(10)11)2-1-3-5(8)9/h4H,1-3,7H2,(H,8,9)(H,10,11)",OYIFNHCXNCRBQI-UHFFFAOYSA-N,1
RPOS-041,Creatine,1,M+H,RPOS-041.1,36.48,0.608,132.0773,132.0753188,132.0792812,21.48,51.48,131.0694765,C4H9N3O2,-2.65933,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Alpha amino acids and derivatives,HMDB0000064,,,,NA,C00300,566,586,16919,"InChI=1S/C4H9N3O2/c1-7(4(5)6)2-3(8)9/h2H2,1H3,(H3,5,6)(H,8,9)",CVSVTCORWBXHQV-UHFFFAOYSA-N,1
RPOS-042,Citric acid,1,M+H,RPOS-042.1,65.7,1.095,215.01677,215.0135447,215.0199953,50.7,80.7,192.0270026,C6H8O7,-2.3668,Carboxylic acids and derivatives,Tricarboxylic acids and derivatives,Tricarboxylic acids and derivatives,HMDB0000094,,,,NA,C00158,305,311,30769,"InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)",KRKNYBCHXYNGOX-UHFFFAOYSA-N,1
RPOS-043,2-Octenoylcarnitine CAR(8:1),1,M+H,RPOS-043.1,338.88,5.648,286.20183,286.197537,286.206123,323.88,353.88,285.1940084,C15H27NO4,-2.4401,Fatty Acyls,Fatty acid esters,Acyl carnitines,HMDB0013324,Fatty Acyls [FA],Fatty esters [FA07],Fatty acyl carnitines [FA0707],LMFA07070035,C02301,28533412,70679121,75659,"InChI=1S/C15H27NO4/c1-5-6-7-8-9-10-15(19)20-13(11-14(17)18)12-16(2,3)4/h9-10,13H,5-8,11-12H2,1-4H3/b10-9+/t13-/m0/s1",LOSHAHDSFZXVCT-LXKVQUBZSA-N,3
RPOS-044,Caffeine,1,M+H,RPOS-044.1,208.92,3.482,195.0882,195.0852737,195.0911263,193.92,223.92,194.0803756,C8H10N4O2,-2.2593,Imidazopyrimidines,Purines and purine derivatives,Xanthines,HMDB0001847,,,,NA,C07481,2424,2519,27732,"InChI=1S/C8H10N4O2/c1-10-4-9-6-5(10)7(13)12(3)8(14)11(6)2/h4H,1-3H3",RYYVLZVUVIJVGH-UHFFFAOYSA-N,1
RPOS-045,Isobutyrylcarnitine CAR(4:0),1,M+H,RPOS-045.1,144.42,2.407,232.15488,232.1513977,232.1583623,129.42,159.42,231.1470582,C11H21NO4,-3.1826,Fatty Acyls,Fatty acid esters,Acyl carnitines,HMDB0000736,Fatty Acyls [FA],Fatty esters [FA07],Fatty acyl carnitines [FA0707],,C02301,147286,168379,84838,"InChI=1S/C11H21NO4/c1-8(2)11(15)16-9(6-10(13)14)7-12(3,4)5/h8-9H,6-7H2,1-5H3/t9-/m1/s1",LRCNOZRCYBNMEP-SECBINFHSA-N,1
RPOS-046,Atenolol,1,M+H,RPOS-046.1,147.6,2.46,267.17087,267.1668624,267.1748776,132.6,162.6,266.1630426,C14H22N2O3,-1.17063,Benzene and substituted derivatives,Phenylacetamides,Phenylacetamides,HMDB0001924,,,,NA,NA,2162,2249,2904,"InChI=1S/C14H22N2O3/c1-10(2)16-8-12(17)9-19-13-5-3-11(4-6-13)7-14(15)18/h3-6,10,12,16-17H,7-9H2,1-2H3,(H2,15,18)",METKIMKYRPQLGS-UHFFFAOYSA-N,1
RPOS-047,Symmetric | AsymmetricDimethylarginine,1,M+H,RPOS-047.1,37.8,0.63,203.1502523,203.147205,203.1532996,22.8,52.8,202.1429758,C8H18N4O2,-1.02670 | 0.73553,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Arginine and derivatives,HMDB0003334 | HMDB0001539,,,,NA,NA | C03626,147942 | 110375,169148 | 123831,25682 | 17929,"InChI=1S/C8H18N4O2/c1-10-8(11-2)12-5-3-4-6(9)7(13)14/h6H,3-5,9H2,1-2H3,(H,13,14)(H2,10,11,12)/t6-/m0/s1 | InChI=1S/C8H18N4O2/c1-12(2)8(10)11-5-3-4-6(9)7(13)14/h6H,3-5,9H2,1-2H3,(H2,10,11)(H,13,14)/t6-/m0/s1",HVPFXCBJHIIJGS-LURJTMIESA-N | YDGMGEXADBMOMJ-LURJTMIESA-N,1
RPOS-048,N-acetylglutamic acid,1,M+H,RPOS-048.1,81.6,1.36,190.07155,190.0686989,190.0744011,66.6,96.6,189.0637225,C7H11NO5,-1.5972,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Glutamic acid and derivatives,HMDB0001138,,,,NA,C00624,64077,70914,17533,"InChI=1S/C7H11NO5/c1-4(9)8-5(7(12)13)2-3-6(10)11/h5H,2-3H2,1H3,(H,8,9)(H,10,11)(H,12,13)/t5-/m0/s1",RFMMMVDNIPUKGG-YFKPBYRVSA-N,1
RPOS-049,Acetaminophen glucuronide,1,M+H,RPOS-049.1,116.88,1.948,328.10324,328.0983185,328.1081615,101.88,131.88,327.0954165,C14H17NO8,-1.7034,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Phenolic glycosides,HMDB0010316,,,,NA,NA,75744,83944,32636,"InChI=1S/C14H17NO8/c1-6(16)15-7-2-4-8(5-3-7)22-14-11(19)9(17)10(18)12(23-14)13(20)21/h2-5,9-12,14,17-19H,1H3,(H,15,16)(H,20,21)/t9-,10-,11+,12-,14+/m0/s1",IPROLSVTVHAQLE-BYNIDDHOSA-N,1
RPOS-050,Acetaminophen,1,M+H,RPOS-050.1,154.5,2.575,152.07115,152.0688689,152.0734311,139.5,169.5,151.0633285,C8H9NO2,1.1088,Phenols,1-hydroxy-2-unsubstituted benzenoids,1-hydroxy-2-unsubstituted benzenoids,HMDB0001859,,,,NA,C06804,1906,1983,46195,"InChI=1S/C8H9NO2/c1-6(10)9-7-2-4-8(11)5-3-7/h2-5,11H,1H3,(H,9,10)",RZVAJINKPMORJF-UHFFFAOYSA-N,1
